entry_code,entry_type_code,entry_type_name,entry_type_name_zh,entry_name_zh,entry_name_en,n_records,n_people,first_year,last_year,n_valid_year_records,semantic_category,government_entry_confidence,include_target_v2_candidate,include_target_v2b_candidate,reason,manual_review_needed
196,0501,Students in Schools,學生門,義學生,Student at a charitable school,15,15,,,0,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
197,0502,Imperial Academy Students,監生門,一品廕生,Student by yin privilege from a Rank 1 Official,19,19,1713.0,1875.0,5,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
198,0502,Imperial Academy Students,監生門,三品廕生,Student by yin privilege from a Rank 3 Official,5,5,1802.0,1802.0,1,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
199,0503,Tribute Students,貢生門,優貢生,Graduate for Excellence,1088,1088,1677.0,1906.0,37,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
200,90,Other Method of Entry,其他入仕途徑,馬甲,Banner soldier,32,32,,,0,military_entry,MEDIUM,True,False,"Description indicates a military role, but the broad Other branch does not always prove a bureaucratic appointment.",True
201,90,Other Method of Entry,其他入仕途徑,護軍,Guardsman,62,62,,,0,military_entry,MEDIUM,True,False,"Description indicates a military role, but the broad Other branch does not always prove a bureaucratic appointment.",True
202,90,Other Method of Entry,其他入仕途徑,前鋒,Vanguard Brigade,88,88,1853.0,1853.0,1,military_entry,MEDIUM,True,False,"Description indicates a military role, but the broad Other branch does not always prove a bureaucratic appointment.",True
203,02,Kinship,血親門,外戚,Consort Family,3,3,,,0,hereditary_or_yin_privilege,MEDIUM,True,False,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,True
204,02,Kinship,血親門,外藩蒙古王公,Mongol Prince,9,9,,,0,hereditary_or_yin_privilege,MEDIUM,True,False,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,True
205,90,Other Method of Entry,其他入仕途徑,披甲,Bannerman,40,40,,,0,military_entry,MEDIUM,True,False,"Description indicates a military role, but the broad Other branch does not always prove a bureaucratic appointment.",True
206,90,Other Method of Entry,其他入仕途徑,民人,Commoner Registered to a Banner,11,11,,,0,ambiguous,LOW,False,False,The broad Other branch and description do not establish a uniform government-entry event.,True
207,90,Other Method of Entry,其他入仕途徑,布衣,buyi,18,18,,,0,ambiguous,LOW,False,False,The broad Other branch and description do not establish a uniform government-entry event.,True
208,90,Other Method of Entry,其他入仕途徑,幼丁,Banner support trooper,6,6,,,0,military_entry,MEDIUM,True,False,"Description indicates a military role, but the broad Other branch does not always prove a bureaucratic appointment.",True
209,90,Other Method of Entry,其他入仕途徑,親軍,Imperial Guardsman,10,10,,,0,military_entry,MEDIUM,True,False,"Description indicates a military role, but the broad Other branch does not always prove a bureaucratic appointment.",True
210,90,Other Method of Entry,其他入仕途徑,鄉勇,Local government militaman,27,27,,,0,ambiguous,LOW,False,False,The broad Other branch and description do not establish a uniform government-entry event.,True
211,90,Other Method of Entry,其他入仕途徑,筆帖式,Document Translator,60,60,1823.0,1827.0,2,ambiguous,LOW,False,False,The broad Other branch and description do not establish a uniform government-entry event.,True
212,0501,Students in Schools,學生門,俊秀,Elegant Scholar (National University student),174,174,,,0,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
213,0501,Students in Schools,學生門,外國大學生,Foreign University student/graduate,35,31,1874.0,1906.0,10,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
214,90,Other Method of Entry,其他入仕途徑,樂舞生;佾生,Ritual Performer,3,3,,,0,ambiguous,LOW,False,False,The broad Other branch and description do not establish a uniform government-entry event.,True
215,90,Other Method of Entry,其他入仕途徑,內閣中書,Secretary of the Grand Secretariat,5,5,1741.0,1889.0,4,direct_appointment,HIGH,True,True,"Description within the Other branch explicitly indicates office, appointment, or promotion.",False
216,0501,Students in Schools,學生門,書院,Enrolled in an Academy,17,16,1720.0,1888.0,5,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
217,0501,Students in Schools,學生門,專門學校,specialzed school graduate,45,44,1842.0,1909.0,19,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
218,90,Other Method of Entry,其他入仕途徑,閑散,Unassigned Bannerman,13,13,,,0,military_entry,MEDIUM,True,False,"Description indicates a military role, but the broad Other branch does not always prove a bureaucratic appointment.",True
219,0404,Other Examination,其他舉,大考翰詹,Hanlin and Heir Apparent's Household Administration Promotion Examination,8,8,1685.0,1866.0,6,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
220,0404,Other Examination,其他舉,考取教習,Examination for Instructorship,18,18,1799.0,1856.0,3,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
221,0404,Other Examination,其他舉,清朝: 考取官位,Promotion Examination within Bureaucracy (Qing: general),10,9,1808.0,1889.0,7,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
222,0402,Occasional Examination,非經常科舉,經濟特科,Statecraft Examination,10,10,1903.0,1903.0,9,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
223,14,Religion,宗教門,宗教: 受洗,Religion: Baptism as a Christian,3,3,1605.0,1605.0,1,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
224,14,Religion,宗教門,宗教: 做喇嘛,Relgion: Becomes a Lama,3,3,,,0,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
225,0402,Occasional Examination,非經常科舉,"以茂才,才行,武功,廉仁等科舉/授官 （非制科）",Recommended for or Appointed to Office for various qualities (non-examination),92,92,1034.0,1621.0,16,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
226,0403,Decree Examination,制舉,科舉制舉: 博學鴻詞/博學宏詞科,Decree examination: Erudite and Literary,242,240,731.0,1737.0,159,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
227,0403,Decree Examination,制舉,科舉制舉: 下筆成章科,Decree examination: xia bi cheng zhang ke,3,3,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
228,0403,Decree Examination,制舉,科舉制舉: 八科,Decree examination: ba ke,3,3,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
229,0404,Other Examination,其他舉,吏部試 (隋唐),Ministry of Personnel examination (Sui-Tang),2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
230,0403,Decree Examination,制舉,科舉制舉: 大禮科,Decree examination: da li ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
231,0403,Decree Examination,制舉,科舉制舉: 孝廉,Decree examination: xiao lian,45,45,1370.0,1636.0,4,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
232,0403,Decree Examination,制舉,科舉: 宏詞科,Examination: literary compositions,21,21,1096.0,1679.0,3,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
233,0403,Decree Examination,制舉,科舉制舉: 射策,Decree examination: she ce,3,3,1042.0,1042.0,1,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
234,0403,Decree Examination,制舉,科舉制舉: 幽素科,Decree examination: you su ke,4,4,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
235,0403,Decree Examination,制舉,科舉制舉: 手筆俊拔科,Decree examination: shou bi jun ba ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
236,0403,Decree Examination,制舉,科舉制舉: 手筆俊拔超越流輩科,Decree examination: shou bi jun ba chao yue liu bei ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
237,0403,Decree Examination,制舉,科舉制舉: 才識兼茂明於體用科,Decree examination: cai shi jian mao ming yu ti yong ke,9,9,806.0,1034.0,3,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
238,0403,Decree Examination,制舉,科舉制舉: 文辭清麗科,Decree examination: wen ci qing li ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
239,0403,Decree Examination,制舉,科舉制舉: 文辭雅麗科,Decree examination: wen ci ya li ke,7,7,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
240,0403,Decree Examination,制舉,科舉: 拔萃科；書判拔萃科,Examination: legal judgments,46,46,802.0,1837.0,18,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
241,0403,Decree Examination,制舉,科舉制舉: 直言極諫科,Decree examination: zhi yan ji jian ke,3,3,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
242,0403,Decree Examination,制舉,科舉制舉: 絕倫科,Decree examination: jue lun ke,4,4,1211.0,1211.0,1,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
243,0403,Decree Examination,制舉,科舉制舉: 臨難不顧徇節寧邦科,Decree examination: lin nan bu gu xun jie ning bang ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
244,0403,Decree Examination,制舉,科舉制舉: 茂才異等科,Decree examination: mao cai yi deng ke,5,5,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
245,0403,Decree Examination,制舉,科舉制舉: 茂才異行科,Decree examination: mao cai yi xing ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
246,0403,Decree Examination,制舉,科舉制舉: 萬言科,Decree examination: wan yan ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
247,0403,Decree Examination,制舉,科舉制舉: 藻思清華科,Decree examination: zao si qing hua ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
248,0403,Decree Examination,制舉,科舉制舉: 賢良方正科,Decree examination: xian liang fang zheng ke,126,126,821.0,1821.0,50,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
249,0403,Decree Examination,制舉,科舉制舉: 賢良方正能直言極諫科,Decree examination: xian liang fang zheng neng zhi yan ji jian ke,36,36,971.0,1061.0,2,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
250,0403,Decree Examination,制舉,科舉制舉: 超拔群類科,Decree examination: chao ba qun lei ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
251,0403,Decree Examination,制舉,科舉制舉: 軍謀越衆科,Decree examination: jun mou yue zhong ke,3,3,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
252,0401,Regular Examination,正常科舉,科舉: 開元禮科,Examination: Kaiyuan Ritual Code,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
253,0401,Regular Examination,正常科舉,科舉: 三史,Examination: Three Histories,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
254,0401,Regular Examination,正常科舉,科舉: 九經,Examination: Nine Classics,2,2,1073.0,1073.0,1,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
255,0401,Regular Examination,正常科舉,科舉: 五經,Examination: Five Classics,4,4,1387.0,1403.0,2,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
256,0403,Decree Examination,制舉,科舉制舉: 通五經科,Decree examination: tong wu jing ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
257,0403,Decree Examination,制舉,科舉制舉: 五經秀才科,Decree examination: wu jing xiu cai ke,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
258,0403,Decree Examination,制舉,科舉制舉: 博學三史科,Decree examination: bo xue san shi ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
259,0403,Decree Examination,制舉,科舉制舉: 博通墳典科,Decree examination: bo tong fen dian ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
260,0403,Decree Examination,制舉,科舉制舉: 博通墳典達於教化科,Decree examination: bo tong fen dian da yu jiao hua ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
261,0403,Decree Examination,制舉,科舉制舉: 博通文詞科,Decree examination: bo tong wen ci ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
262,0403,Decree Examination,制舉,科舉制舉: 哲人奇士科,Decree examination: zhe ren qi shi ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
263,0403,Decree Examination,制舉,科舉制舉: 四子科,Decree examination: si zi ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
264,0403,Decree Examination,制舉,科舉制舉: 天下奇佚科,Decree examination: tian xia qi yi ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
265,0403,Decree Examination,制舉,科舉制舉: 孝悌廉潔科,Decree examination: xiao ti lian jie ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
266,0403,Decree Examination,制舉,科舉制舉: 孝悌廉讓科,Decree examination: xiao ti lian rang ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
267,0401,Regular Examination,正常科舉,科舉: 學究科,Examination: Thorough Learning,43,43,966.0,1181.0,40,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
268,0403,Decree Examination,制舉,科舉制舉: 平判入等,Decree examination: ping pan ru deng,2,2,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
269,0403,Decree Examination,制舉,科舉制舉: 廉科,Decree examination: lian ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
270,0403,Decree Examination,制舉,科舉制舉: 志烈秋霜科,Decree examination: zhi lie qiu shuang ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
271,0403,Decree Examination,制舉,科舉制舉: 才可宰百里科,Decree examination: cai ke zai bai li ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
272,0403,Decree Examination,制舉,科舉制舉: 才膺管樂科,Decree examination: cai ying guan yue ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
273,0403,Decree Examination,制舉,科舉制舉: 才高未達沈跡下僚科,Decree examination: cai gao wei da shen ji xia liao ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
274,0403,Decree Examination,制舉,科舉制舉: 文以經國科,Decree examination: wen yi jing guo ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
275,0403,Decree Examination,制舉,科舉制舉: 文可以經邦科,Decree examination: wen ke yi jing bang ke,0,0,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
276,0403,Decree Examination,制舉,科舉制舉: 文壇詞場科,Decree examination: wen tan ci chang ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
277,0403,Decree Examination,制舉,科舉制舉: 文學優贍科,Decree examination: wen xue you shan ke,3,3,1374.0,1374.0,1,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
278,0403,Decree Examination,制舉,科舉制舉: 文藝優長科,Decree examination: wen yi you chang ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
279,0403,Decree Examination,制舉,科舉制舉: 文藻宏麗科,Decree examination: wen zao hong li ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
280,0403,Decree Examination,制舉,科舉制舉: 文藻流譽科,Decree examination: wen zao liu yu ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
281,0403,Decree Examination,制舉,科舉制舉: 文詞秀逸科,Decree examination: wen ci xiu yi ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
282,0403,Decree Examination,制舉,科舉制舉: 明兩經,Decree examination: ming liang jing,0,0,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
283,0403,Decree Examination,制舉,科舉制舉: 明於政理科,Decree examination: ming yu zheng li ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
284,0403,Decree Examination,制舉,科舉制舉: 智謀將帥科,Decree examination: zhi mou jiang shuai ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
285,0403,Decree Examination,制舉,科舉制舉: 經學優深科,Decree examination: jing xue you shen ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
286,0403,Decree Examination,制舉,科舉制舉: 有道科,Decree examination: you dao ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
287,0403,Decree Examination,制舉,科舉制舉: 材堪經邦科,Decree examination: cai kan jing bang ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
288,0403,Decree Examination,制舉,科舉制舉: 武舉科,Decree examination: wu ju ke,484,481,1573.0,1633.0,10,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
289,0403,Decree Examination,制舉,科舉制舉: 武足安邊科,Decree examination: wu zu an bian ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
290,0403,Decree Examination,制舉,科舉制舉: 洞曉玄經科,Decree examination: dong xiao xuan jing ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
291,0403,Decree Examination,制舉,科舉制舉: 清廉守節政術可稱堪縣令科,Decree examination: qing lian shou jie zheng shu ke cheng kan xian ling ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
292,0403,Decree Examination,制舉,科舉制舉: 牧宰科,Decree examination: mu zai ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
293,0403,Decree Examination,制舉,科舉制舉: 百篇,Decree examination: bai pian,2,2,1004.0,1004.0,1,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
294,0403,Decree Examination,制舉,科舉制舉: 良才異等科,Decree examination: liang cai yi deng ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
295,0403,Decree Examination,制舉,科舉制舉: 英才傑出業奥大經科,Decree examination: ying cai jie chu ye ao da jing ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
296,0403,Decree Examination,制舉,科舉制舉: 英材傑出科,Decree examination: ying cai jie chu ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
297,0403,Decree Examination,制舉,科舉制舉: 藏器下僚科,Decree examination: cang qi xia liao ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
298,0403,Decree Examination,制舉,科舉制舉: 詞擅文場科,Decree examination: ci shan wen chang ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
299,0403,Decree Examination,制舉,科舉制舉: 詞藻宏麗制舉,Decree examination: ci zao hong li zhi ju,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
300,0403,Decree Examination,制舉,科舉制舉: 詳明政術可以理人科,Decree examination: xiang ming zheng shu ke yi li ren ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
301,0403,Decree Examination,制舉,科舉制舉: 諷諫主文科,Decree examination: feng jian zhu wen ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
302,0403,Decree Examination,制舉,科舉制舉: 辭殫文律科,Decree examination: ci dan wen lü ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
303,0403,Decree Examination,制舉,科舉制舉: 道侔伊呂科,Decree examination: dao mou yi lü ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
304,0403,Decree Examination,制舉,科舉制舉: 隠居丘園不求聞達科,Decree examination: yin ju qiu yuan bu qiu wen da ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
305,0403,Decree Examination,制舉,科舉制舉: 韜晦賢才,Decree examination: tao hui xian cai,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
306,0403,Decree Examination,制舉,科舉制舉: 風雅古調科,Decree examination: feng ya gu diao ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
307,0403,Decree Examination,制舉,科舉制舉: 高才沈淪草澤自舉科,Decree examination: gao cai shen lun cao ze zi ju ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
308,0403,Decree Examination,制舉,科舉制舉: 拔萃出類科,Decree examination: ba cui chu lei ke,2,2,1885.0,1885.0,1,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
309,0403,Decree Examination,制舉,科舉制舉: 軍謀宏遠科,Decree examination: jun mou hong yuan ke,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
310,0403,Decree Examination,制舉,科舉制舉: 舉或詔,Decree examination: recommended for/summoned to,20,20,1678.0,1751.0,17,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
311,04,Examination,科舉門,科舉: 考上會試/貢士,"Passed Scholar (passed Metropolitan, not yet Palace, Exam)",1722,1722,1244.0,1892.0,66,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
312,90,Other Method of Entry,其他入仕途徑,行伍,soldier,3662,3662,1674.0,1674.0,1,military_entry,MEDIUM,True,False,"Description indicates a military role, but the broad Other branch does not always prove a bureaucratic appointment.",True
